6876 6876
1700 1731 1
1731 1732 2
1732 1669 2
1669 1701 2
1701 1765 2
1765 1822 2
1822 1876 2
1876 1930 2
1930 1958 1
1958 2009 2
2009 1959 2
1959 2010 2
2010 2051 2
2051 2080 1
2080 2050 2
2050 2079 2
2079 2100 1
2100 2122 2
2122 2123 2
2123 2147 1
2147 2101 2
2101 2124 2
2124 2166 2
2166 2210 2
2210 2231 2
2231 2253 2
2253 2254 2
2254 2293 2
2293 2338 2
2338 2356 1
2356 2378 2
2378 2421 2
2421 2443 1
2443 2464 2
2464 2444 1
2444 2400 2
2400 2401 2
2401 2358 2
2358 2319 2
2319 2320 2
2320 2276 4
2276 2233 3
2233 2256 2
2256 2232 2
2232 2213 2
2213 2275 3
2275 2318 2
2318 2357 2
2357 2379 2
2379 2339 2
2339 2294 2
2294 2255 2
2255 2212 2
2212 2168 2
2168 2189 2
2189 2149 2
2149 2104 2
2104 2056 2
2056 2103 2
2103 2125 2
2125 2167 2
2167 2211 2
2211 2188 2
2188 2148 2
2148 2102 2
2102 2054 2
2054 2081 2
2081 2055 1
2055 2013 2
2013 1980 1
1980 1932 2
1932 1879 2
1879 1880 2
1880 1853 2
1853 1908 2
1908 1933 2
1933 1981 2
1981 1982 2
1982 2014 1
2014 2057 2
2057 2058 3
2058 2105 3
2105 2150 2
2150 2190 2
2190 2191 2
2191 2126 3
2126 2106 4
2106 2151 3
2151 2234 4
2234 2321 4
2321 2381 3
2381 2446 3
2446 2509 3
2509 2552 2
2552 2599 2
2599 2658 2
2658 2683 1
2683 2713 2
2713 2773 2
2773 2739 2
2739 2738 2
2738 2772 2
2772 2712 2
2712 2682 2
2682 2625 2
2625 2624 2
2624 2570 2
2570 2524 2
2524 2508 2
2508 2467 2
2467 2486 2
2486 2445 2
2445 2402 2
2402 2360 2
2360 2359 2
2359 2380 1
2380 2423 2
2423 2422 2
2422 2465 2
2465 2466 2
2466 2507 2
2507 2550 2
2550 2551 2
2551 2598 2
2598 2569 2
2569 2623 2
2623 2657 1
2657 2656 3
2656 2655 3
2655 2597 2
2597 2549 2
2549 2506 2
2506 2505 2
2505 2548 2
2548 2523 2
2523 2504 1
2504 2485 2
2485 2463 2
2463 2420 2
2420 2399 2
2399 2355 2
2355 2317 2
2317 2292 1
2292 2274 2
2274 2252 2
2252 2291 2
2291 2316 2
2316 2354 2
2354 2353 2
2353 2337 1
2337 2315 2
2315 2352 2
2352 2377 1
2377 2396 1
2396 2397 2
2397 2441 2
2441 2459 1
2459 2500 2
2500 2521 1
2521 2522 2
2522 2484 2
2484 2460 1
2460 2418 2
2418 2398 1
2398 2419 2
2419 2442 1
2442 2462 2
2462 2503 2
2503 2502 2
2502 2461 2
2461 2501 2
2501 2545 2
2545 2593 2
2593 2652 2
2652 2651 2
2651 2592 2
2592 2591 2
2591 2650 2
2650 2708 2
2708 2733 1
2733 2768 2
2768 2709 2
2709 2710 2
2710 2769 2
2769 2798 1
2798 2864 2
2864 2928 2
2928 2863 2
2863 2830 2
2830 2829 2
2829 2890 2
2890 2891 2
2891 2927 2
2927 2991 2
2991 2954 2
2954 2953 2
2953 2926 2
2926 2862 2
2862 2797 2
2797 2767 1
2767 2707 2
2707 2678 2
2678 2619 2
2619 2566 2
2566 2590 2
2590 2544 2
2544 2499 2
2499 2483 2
2483 2440 2
2440 2417 1
2417 2376 2
2376 2416 2
2416 2458 2
2458 2415 2
2415 2414 2
2414 2374 2
2374 2375 2
2375 2334 2
2334 2288 2
2288 2287 2
2287 2249 2
2249 2228 2
2228 2250 2
2250 2289 2
2289 2335 2
2335 2314 1
2314 2336 2
2336 2290 2
2290 2272 2
2272 2229 2
2229 2185 2
2185 2209 2
2209 2251 2
2251 2273 2
2273 2230 2
2230 2187 2
2187 2186 2
2186 2165 1
2165 2146 2
2146 2145 2
2145 2121 1
2121 2184 3
2184 2183 2
2183 2144 2
2144 2099 2
2099 2077 1
2077 2006 3
2006 1957 2
1957 1978 2
1978 2007 1
2007 2049 2
2049 2078 2
2078 2035 2
2035 2008 2
2008 1979 1
1979 1929 2
1929 1875 2
1875 1928 2
1928 1905 2
1905 1850 2
1850 1821 1
1821 1789 2
1789 1849 2
1849 1904 2
1904 1848 2
1848 1820 1
1820 1764 2
1764 1730 2
1730 1667 2
1667 1609 2
1609 1539 2
1539 1473 2
1473 1402 2
1402 1367 1
1367 1366 2
1366 1295 2
1295 1296 2
1296 1226 2
1226 1152 2
1152 1225 2
1225 1294 2
1294 1365 2
1365 1436 2
1436 1437 2
1437 1472 1
1472 1538 2
1538 1608 2
1608 1572 3
1572 1537 2
1537 1507 1
1507 1471 2
1471 1401 2
1401 1328 2
1328 1260 2
1260 1187 2
1187 1117 2
1117 1047 2
1047 983 2
983 918 2
918 884 1
884 825 2
825 793 2
793 766 1
766 709 2
709 676 2
676 622 2
622 562 2
562 510 2
510 486 1
486 431 2
431 403 3
403 430 2
430 485 2
485 539 2
539 595 2
595 561 2
561 621 2
621 648 2
648 708 2
708 733 1
733 675 3
675 734 2
734 765 2
765 792 3
792 824 2
824 854 1
854 917 2
917 855 2
855 883 2
883 946 2
946 982 1
982 1046 2
1046 1116 2
1116 1186 2
1186 1151 2
1151 1081 2
1081 1012 2
1012 981 2
981 916 2
916 915 2
915 853 2
853 823 1
823 791 2
791 732 2
732 707 1
707 647 2
647 674 3
674 646 1
646 593 3
593 558 2
558 620 3
620 557 2
557 592 2
592 644 2
644 704 2
704 761 2
761 820 2
820 879 2
879 851 2
851 789 2
789 705 3
705 645 3
645 706 2
706 762 2
762 821 2
821 880 2
880 913 2
913 881 3
881 852 2
852 763 3
763 764 2
764 790 1
790 822 2
822 882 2
882 914 1
914 979 2
979 1044 2
